nl	en	fr	de	references	usage	description
aak	barge 	barge	Frachtkahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	chaland	Frachtkahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	péniche	Frachtkahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	barge	Kahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	chaland	Kahn	AAT		Capacious, flat-bottomed vessels, usually intended to be pushed or towed, primarily for transporting cargo
aak	barge 	chaland	Kahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	péniche	Kahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	barge	Lastkahn 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	chaland	Lastkahn 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	péniche	Lastkahn 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
Aanlegplaats	Landing place	Quai	Anlegeplatz	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing stage	Quai	Anlegeplatz	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing place	Quai	Anlegestelle	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing stage	Quai	Anlegestelle	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing place	Quai	Landungsplatz	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing stage	Quai	Landungsplatz	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing place	Quai	Landungsstelle	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing stage	Quai	Landungsstelle	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegsteiger	Landing stage	débarcadère	Anlege	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Landing stage	embarcadère	Anlege	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Landing stage	Ponton	Anlege	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
